Subcategory ID,Function,Category,Title,Current Tier,Target Tier,Gap Description,Implementation Status,Evidence Reference,Owner,Last Review Date
PR.AA-05,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control",,,,Not Started,,,
PR.AA-06,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control",,,,Not Started,,,
PR.AT-01,PROTECT (PR),PR.AT Awareness and Training,Awareness and Training,,,,Not Started,,,
PR.AT-02,PROTECT (PR),PR.AT Awareness and Training,Awareness and Training,,,,Not Started,,,
PR.DS-01,PROTECT (PR),PR.DS Data Security,Data Security,,,,Not Started,,,
PR.DS-02,PROTECT (PR),PR.DS Data Security,Data Security,,,,Not Started,,,
PR.DS-10,PROTECT (PR),PR.DS Data Security,Data Security,,,,Not Started,,,
PR.DS-11,PROTECT (PR),PR.DS Data Security,Data Security,,,,Not Started,,,
PR.PS-01,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.PS-02,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.PS-03,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.PS-04,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.PS-05,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.PS-06,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,Not Started,,,
PR.IR-01,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,Not Started,,,
PR.IR-02,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,Not Started,,,
PR.IR-03,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,Not Started,,,
PR.IR-04,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,Not Started,,,
DE.CM-01,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,Not Started,,,
DE.CM-02,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,Not Started,,,
DE.CM-03,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,Not Started,,,
DE.CM-06,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,Not Started,,,
DE.CM-09,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,Not Started,,,
DE.AE-02,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
DE.AE-03,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
DE.AE-04,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
DE.AE-06,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
DE.AE-07,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
DE.AE-08,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,Not Started,,,
RS.MA-01,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,Not Started,,,
RS.MA-02,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,Not Started,,,
RS.MA-03,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,Not Started,,,
RS.MA-04,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,Not Started,,,
RS.MA-05,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,Not Started,,,
RS.AN-03,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,Not Started,,,
RS.AN-06,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,Not Started,,,
