Subcategory ID,Function,Category,Title,Evidence Reviewed,Conformance (Conform/Nonconform/Partial),Finding,Corrective Action Ref,Auditor,Audit Date
PR.DS-10,PROTECT (PR),PR.DS Data Security,Data Security,,,,,,
PR.DS-11,PROTECT (PR),PR.DS Data Security,Data Security,,,,,,
PR.PS-01,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.PS-02,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.PS-03,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.PS-04,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.PS-05,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.PS-06,PROTECT (PR),PR.PS Platform Security,Platform Security,,,,,,
PR.IR-01,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,,,
PR.IR-02,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,,,
PR.IR-03,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,,,
PR.IR-04,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,,,,,,
DE.CM-01,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,,,
DE.CM-02,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,,,
DE.CM-03,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,,,
DE.CM-06,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,,,
DE.CM-09,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,,,,,,
DE.AE-02,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
DE.AE-03,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
DE.AE-04,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
DE.AE-06,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
DE.AE-07,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
DE.AE-08,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,,,,,,
RS.MA-01,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,,,
RS.MA-02,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,,,
RS.MA-03,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,,,
RS.MA-04,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,,,
RS.MA-05,RESPOND (RS),RS.MA Incident Management,Incident Management,,,,,,
RS.AN-03,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,,,
RS.AN-06,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,,,
RS.AN-07,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,,,
RS.AN-08,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,,,,,,
RS.CO-02,RESPOND (RS),RS.CO Incident Response Reporting and Communication,Incident Response Reporting and Communication,,,,,,
RS.CO-03,RESPOND (RS),RS.CO Incident Response Reporting and Communication,Incident Response Reporting and Communication,,,,,,
RS.MI-01,RESPOND (RS),RS.MI Incident Mitigation,Incident Mitigation,,,,,,
RS.MI-02,RESPOND (RS),RS.MI Incident Mitigation,Incident Mitigation,,,,,,
RC.RP-01,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.RP-02,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.RP-03,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.RP-04,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.RP-05,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.RP-06,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,,,,,,
RC.CO-03,RECOVER (RC),RC.CO Incident Recovery Communication,Incident Recovery Communication,,,,,,
RC.CO-04,RECOVER (RC),RC.CO Incident Recovery Communication,Incident Recovery Communication,,,,,,
